TrialNumber,Parameters,Sensor Latitude Accuracy,Sensor Longitude Accuracy
463,20--310,96.150316,94.966541
464,20--315,79.393486,62.210240
465,20--320,96.603940,97.642063
466,20--325,79.214582,61.513016
467,20--330,96.650227,95.555070
468,20--335,79.033024,61.705346
469,20--340,96.053209,97.131660
470,20--345,96.076044,96.163427
471,20--350,95.919027,93.736368
472,20--355,78.947162,61.213629
473,20--360,96.365421,97.436859
474,20--365,96.942051,95.574067
475,20--370,37.610158,22.609814
476,20--375,96.984927,97.336735
477,20--380,96.760824,96.884395
478,20--385,79.033673,62.151619
479,20--390,79.240148,61.981733
480,20--395,96.691743,97.587532
481,20--400,96.777764,97.662033
482,20--405,96.907976,97.749787
483,20--410,96.938472,96.814072
484,20--415,96.393256,96.776065
485,20--420,79.094467,61.642702
486,20--425,92.310135,88.239782
487,20--430,96.952332,96.875973
488,20--435,83.055644,69.556678
489,20--440,79.029718,61.695619
490,20--445,82.500278,69.526198
491,20--450,96.909342,97.901228
492,20--455,96.724143,97.533282
493,20--460,37.808491,22.505057
494,20--465,78.864911,61.827324
495,20--470,96.671425,97.510530
496,20--475,96.440582,96.746057
497,20--480,96.969104,97.412452
498,20--485,96.927594,97.843472
499,20--490,96.926594,97.696747
500,20--495,96.638412,96.762242
501,25--0,-0.18175,-0.09381
502,25--5,16.098984,22.573336
503,25--10,39.316851,19.129583
504,25--15,41.232754,23.026437
505,25--20,44.284530,39.416185
506,25--25,44.366208,27.014867
507,25--30,44.996495,28.309478
508,25--35,54.294073,38.874293
509,25--40,56.435126,41.033693
510,25--45,55.314622,40.047700
511,25--50,52.556984,40.343990
512,25--55,55.917099,39.844330
513,25--60,56.739996,39.031000
514,25--65,51.742370,36.438721
515,25--70,60.850968,44.099322
516,25--75,71.699424,55.453867
517,25--80,59.619855,42.029202
518,25--85,69.066332,52.705607
519,25--90,71.472310,57.524984
520,25--95,73.070923,57.344051
521,25--100,61.122554,43.866023
522,25--105,74.870479,54.521840
523,25--110,77.988466,60.723113
524,25--115,73.050123,56.117781
525,25--120,76.027918,60.843406
526,25--125,74.656051,57.956496
527,25--130,77.415782,60.325811
528,25--135,70.236782,54.117063
529,25--140,77.173342,63.312864
530,25--145,77.868272,61.725167
531,25--150,78.735178,61.942761
532,25--155,78.221544,61.588465
533,25--160,77.142769,62.956983
534,25--165,77.917707,62.977798
535,25--170,78.786273,61.932369
536,25--175,78.060920,62.909963
537,25--180,79.942352,62.197648
538,25--185,87.775941,84.277126
539,25--190,78.875142,61.409939
540,25--195,86.905834,80.011770
541,25--200,37.687655,22.585513
542,25--205,79.132085,60.768388
543,25--210,78.661400,61.917538
544,25--215,79.403854,60.605097
545,25--220,78.138277,62.305463
546,25--225,79.186244,60.362942
547,25--230,78.861035,61.416754
548,25--235,78.861069,61.962602
549,25--240,78.193792,62.552498
550,25--245,78.754761,61.572826
551,25--250,94.520771,86.281084
552,25--255,78.673165,61.878913
553,25--260,78.838601,61.808313
554,25--265,79.647284,61.761398
555,25--270,78.680211,61.872809
556,25--275,93.009281,82.817127
557,25--280,78.881114,61.708526
558,25--285,95.764025,97.018098
559,25--290,79.227261,61.033412
560,25--295,82.590390,66.307693
561,25--300,96.735245,97.642284
562,25--305,79.821432,61.893542
563,25--310,37.712017,22.752765
564,25--315,96.063772,94.404532
565,25--320,96.283422,96.946489
566,25--325,79.490525,63.301101
567,25--330,94.212348,93.754981
568,25--335,78.862742,61.953818
569,25--340,78.976017,61.928207
570,25--345,96.662457,97.721469
571,25--350,96.680473,97.375965
572,25--355,37.647146,22.208917
573,25--360,96.427328,96.046929
574,25--365,79.553065,61.263562
575,25--370,95.899412,91.326510
576,25--375,96.289064,95.615223
577,25--380,96.549243,96.203409
578,25--385,93.775156,87.929193
579,25--390,96.563340,97.341314
580,25--395,78.921797,61.468532
581,25--400,96.899769,96.713798
582,25--405,78.774124,61.991631
583,25--410,79.395997,62.006427
584,25--415,93.544287,91.289697
585,25--420,96.689661,97.203041
586,25--425,95.555869,93.000490
587,25--430,97.045834,97.739823
588,25--435,97.036448,97.792556
589,25--440,96.823268,97.254134
590,25--445,78.789864,61.384863
591,25--450,94.754767,93.642727
592,25--455,96.767954,97.711537
593,25--460,96.988610,97.002098
594,25--465,96.972925,97.028526
595,25--470,96.991661,97.729214
596,25--475,95.533539,97.048016
597,25--480,96.932592,97.774373
598,25--485,96.614327,97.096376
599,25--490,97.396254,97.463923
600,25--495,96.955719,97.778711
601,30--0,0.339878,0.431749
602,30--5,10.575981,12.433136
603,30--10,48.577120,35.742981
604,30--15,33.561033,24.840565
605,30--20,41.592314,23.126241
606,30--25,41.398147,22.480664
607,30--30,43.742601,25.990541
608,30--35,44.770249,27.876835
609,30--40,46.895972,31.688885
610,30--45,55.770872,39.979751
611,30--50,48.177212,32.923092
612,30--55,55.997050,39.588184
613,30--60,57.341452,39.928048
614,30--65,61.837690,45.191382
615,30--70,63.144297,47.253950
616,30--75,51.349068,35.428028
617,30--80,55.201311,39.006918
618,30--85,66.109887,47.459070
619,30--90,60.913526,44.324959
620,30--95,57.839223,41.925706
621,30--100,44.458038,29.337798
622,30--105,75.348688,59.617769
623,30--110,57.024917,40.980698
624,30--115,64.425437,47.456183
625,30--120,75.484475,62.363055
626,30--125,68.053626,52.147070
627,30--130,75.761747,61.325982
628,30--135,78.203304,59.739931
629,30--140,70.038179,50.341362
630,30--145,77.386352,62.820160
631,30--150,38.680123,23.443208
632,30--155,77.813878,61.437513
633,30--160,38.330352,23.112077
634,30--165,76.816658,64.074392
635,30--170,77.472206,62.807123
636,30--175,77.803908,61.350749
637,30--180,37.793823,22.635914
638,30--185,78.274039,62.138615
639,30--190,37.917667,22.769686
640,30--195,79.062378,64.023320
641,30--200,78.726177,60.328329
642,30--205,79.414112,60.982339
643,30--210,78.182257,62.450991
644,30--215,78.560934,61.281513
645,30--220,78.586338,61.961904
646,30--225,79.566904,59.402443
647,30--230,79.178008,64.159055
648,30--235,79.060882,60.327828
649,30--240,78.723665,61.696844
650,30--245,78.780730,60.529846
651,30--250,81.262567,73.667681
652,30--255,78.764107,62.167246
653,30--260,78.519113,62.027805
654,30--265,78.568360,62.186159
655,30--270,78.671418,62.803292
656,30--275,79.530343,61.399382
657,30--280,79.026482,61.169955
658,30--285,82.804730,77.185077
659,30--290,84.681747,73.292488
660,30--295,78.652322,62.093758
661,30--300,78.878604,61.786709
662,30--305,78.896168,61.881766
663,30--310,95.415068,93.008901
664,30--315,96.227428,95.730788
665,30--320,79.403532,61.786103
666,30--325,78.666601,61.827578
667,30--330,96.423008,97.202228
668,30--335,79.029298,61.392041
669,30--340,78.99194,61.38368
670,30--345,78.870034,61.617021
671,30--350,94.464734,92.051948
672,30--355,96.924771,97.022209
673,30--360,79.577364,61.898587
674,30--365,88.245638,75.350945
675,30--370,78.831689,61.508612
676,30--375,79.688020,62.115535
677,30--380,95.936641,92.553016
678,30--385,89.868598,79.003015
679,30--390,37.660190,22.510071
680,30--395,96.300274,94.588894
681,30--400,78.899490,61.774111
682,30--405,96.817919,97.408682
683,30--410,96.502100,95.914111
684,30--415,80.466519,63.699704
685,30--420,82.769051,67.452524
686,30--425,79.301911,61.516658
687,30--430,96.480416,94.630978
688,30--435,79.079321,61.530077
689,30--440,79.08425,61.23694
690,30--445,78.908329,61.570684
691,30--450,96.212737,94.335337
692,30--455,79.340160,61.430305
693,30--460,96.919689,97.416205
694,30--465,96.321847,95.704942
695,30--470,78.944879,61.260938
696,30--475,93.636768,88.813516
697,30--480,96.804246,96.420401
698,30--485,96.641053,96.957036
699,30--490,96.775308,97.336695
700,30--495,96.497483,97.493892
701,35--0,-0.076569,-0.033771
702,35--5,22.747938,21.444849
703,35--10,30.134623,30.332670
704,35--15,45.941470,17.290427
705,35--20,42.906310,17.699859
706,35--25,34.345588,27.975700
707,35--30,47.483948,28.844713
708,35--35,43.261398,25.004302
709,35--40,41.750113,23.960227
710,35--45,48.281459,32.112746
711,35--50,47.224027,31.882159
712,35--55,45.297614,29.393533
713,35--60,52.763601,36.940107
714,35--65,55.498775,40.135738
715,35--70,53.451241,37.260339
716,35--75,57.124866,40.620992
717,35--80,51.375361,37.742599
718,35--85,65.763764,49.266820
719,35--90,55.429790,39.072922
720,35--95,65.585690,46.245501
721,35--100,69.187291,53.947857
722,35--105,73.837978,60.154332
723,35--110,70.644583,53.770592
724,35--115,74.811327,61.606446
725,35--120,69.571239,51.291244
726,35--125,69.250835,51.879135
727,35--130,67.533535,51.110758
728,35--135,65.011168,50.316775
729,35--140,72.949529,59.195592
730,35--145,69.102587,49.197850
731,35--150,77.840544,62.475569
732,35--155,78.337523,62.954036
733,35--160,76.355376,62.098146
734,35--165,80.700458,76.516870
735,35--170,76.956233,62.153072
736,35--175,77.604752,61.196774
737,35--180,74.814806,61.150109
738,35--185,75.469072,61.746460
739,35--190,76.620893,68.298189
740,35--195,78.549738,62.195363
741,35--200,76.073508,66.257448
742,35--205,78.264723,62.134401
743,35--210,90.081357,87.429169
744,35--215,78.876263,61.297463
745,35--220,75.635700,66.820999
746,35--225,83.593987,74.160923
747,35--230,79.083519,61.229105
748,35--235,78.530335,61.781862
749,35--240,78.501403,61.967465
750,35--245,78.937959,61.126357
751,35--250,78.530947,60.280274
752,35--255,78.601989,62.120111
753,35--260,78.775016,61.744867
754,35--265,77.871646,62.010425
755,35--270,82.439015,72.462642
756,35--275,78.984287,62.168368
757,35--280,37.743440,22.656819
758,35--285,78.672619,61.816517
759,35--290,78.631434,62.585725
760,35--295,78.990642,61.647460
761,35--300,78.754339,61.817122
762,35--305,78.812465,61.737483
763,35--310,79.029547,60.901111
764,35--315,78.977668,61.648629
765,35--320,95.657173,93.188215
766,35--325,94.736760,82.919219
767,35--330,78.750977,61.649377
768,35--335,78.398198,62.293995
769,35--340,79.305501,61.189887
770,35--345,78.686690,61.448733
771,35--350,78.473369,61.874707
772,35--355,79.700626,61.751824
773,35--360,78.791662,61.906792
774,35--365,89.051429,88.961404
775,35--370,79.099855,61.520326
776,35--375,79.854418,62.347206
777,35--380,37.754852,22.682149
778,35--385,96.690823,96.398296
779,35--390,82.284619,68.759335
780,35--395,79.293469,61.438100
781,35--400,79.205455,60.994653
782,35--405,82.286998,82.799174
783,35--410,96.950967,95.797378
784,35--415,96.968980,97.236331
785,35--420,94.181485,93.124210
786,35--425,96.592739,97.300541
787,35--430,37.745406,22.553822
788,35--435,80.475372,64.419542
789,35--440,78.961531,61.583839
790,35--445,78.894016,61.806852
791,35--450,96.657618,97.434161
792,35--455,79.026649,61.795190
793,35--460,79.057368,61.804918
794,35--465,95.804611,95.976600
795,35--470,79.003557,61.593525
796,35--475,96.131034,96.168922
797,35--480,96.498933,95.373460
798,35--485,96.246810,97.696947
799,35--490,79.108914,61.356803
800,35--495,79.119450,61.330209
801,40--0,-0.085860,0.031868
802,40--5,8.394855,9.563629
803,40--10,34.563579,31.241402
804,40--15,46.844362,35.994115
805,40--20,40.589557,13.614533
806,40--25,39.069697,16.642938
807,40--30,42.592070,24.313698
808,40--35,43.164905,26.336858
809,40--40,45.287530,27.693554
810,40--45,44.484784,28.316175
811,40--50,46.002517,29.398490
812,40--55,46.247553,30.334625
813,40--60,47.544126,32.324001
814,40--65,46.679589,31.555650
815,40--70,50.393135,35.752075
816,40--75,56.249387,40.322178
817,40--80,68.142986,51.372846
818,40--85,50.083296,34.579668
819,40--90,54.345088,38.684878
820,40--95,61.797139,43.560718
821,40--100,53.196959,37.624106
822,40--105,70.430881,53.829777
823,40--110,72.789753,54.255077
824,40--115,64.273047,47.741886
825,40--120,67.218867,50.382508
826,40--125,70.219939,51.532750
827,40--130,67.245515,50.260683
828,40--135,66.675304,48.011319
829,40--140,72.624023,55.685082
830,40--145,64.684619,47.803862
831,40--150,75.289662,61.422188
832,40--155,69.008054,54.004060
833,40--160,76.722998,62.127765
834,40--165,78.312851,62.161313
835,40--170,64.056331,45.247332
836,40--175,76.936431,62.493121
837,40--180,39.567859,24.229042
838,40--185,74.807157,55.894552
839,40--190,76.841740,62.204845
840,40--195,77.112082,61.618862
841,40--200,76.075032,59.694685
842,40--205,38.527086,23.267088
843,40--210,78.330460,60.721057
844,40--215,77.887511,61.800146
845,40--220,75.919858,60.345925
846,40--225,78.000342,58.233167
847,40--230,80.499067,60.898636
848,40--235,75.977479,63.914765
849,40--240,80.168884,60.557780
850,40--245,79.368898,61.629045
851,40--250,79.964872,62.926747
852,40--255,78.629378,61.436771
853,40--260,78.985260,61.799952
854,40--265,77.092593,62.983333
855,40--270,78.779495,61.563007
856,40--275,78.658532,62.223956
857,40--280,78.016808,62.597798
858,40--285,78.609844,61.615880
859,40--290,78.522957,63.649303
860,40--295,78.546247,61.666783
861,40--300,78.618394,61.858378
862,40--305,78.960552,59.788750
863,40--310,77.353498,62.665339
864,40--315,79.048435,61.312789
865,40--320,96.196012,95.928304
866,40--325,78.919333,74.492815
